ppm,intensity,win_pos
250,300,1
265,789,0
123,123,1
423,145,0
145,658,0
236,256,1
456,965,0
452,145,0
789,178,0
698,198,0
123,156,1
156,149,1
132,178,1
156,254,1
198,264,1
178,278,1
256,289,1
369,297,0
54,345,0
658,658,0
986,215,0
478,156,0
256,216,1
245,215,1
287,235,1
293,298,1
269,278,1
98,245,1
123,243,1
34,241,1
234,248,1
345,298,0
567,259,0
678,65,0
789,245,0
890,245,0
98,358,0
876,396,0
543,257,0
234,89,1
567,56,0
876,14,0
123,56,1
987,365,0
896,98,0
325,25,0
145,896,0
753,569,0
159,478,0
269,589,0
